63, 5
55, 1
12, 6
127, 1
62, 5
82, 3
107, 1
79, 1
84, 2
90, 7
76, 2
13, 7
88, 2
77, 5
98, 2
40, 28
21, 17
71, 20
29, 13
99, 27
28, 19
46, 94
105, 8
50, 122
42, 3
34, 9
93, 7
47, 21
106, 61
18, 62
19, 30
78, 2
27, 36
11, 91
70, 3
6, 86
31, 36
2, 196
15, 61
30, 5
1, 974
14, 38
3, 259
16, 82
75, 12
4, 95
39, 10
10, 70
69, 16
23, 37
8, 134
36, 55
7, 67
22, 23
9, 30
43, 64
102, 6
52, 187
37, 54
103, 30
44, 26
53, 71
45, 18
104, 10
92, 16
33, 29
59, 17
72, 15
32, 12
54, 190
17, 30
108, 14
49, 2
51, 84
48, 48
38, 22
100, 5
41, 28
